Časová pečiatka,Logo,Nápis,"Napíš prosím ešte raz celú kombináciu, ktorú si vybral"
22.2.2021 22:55:31,Logo 2,Nápis 3,
22.2.2021 23:03:27,Logo 1,Nápis 1,
22.2.2021 23:05:33,Logo 2,Nápis 2,
23.2.2021 6:25:28,Logo 1,Nápis 3,
23.2.2021 7:04:16,Logo 1,Nápis 1,
23.2.2021 7:57:24,Logo 1,Nápis 1,
23.2.2021 9:19:38,Logo 3,Nápis 2,
23.2.2021 9:19:42,Logo 1,Nápis 1,
23.2.2021 9:20:21,Logo 3,Nápis 1,
23.2.2021 9:32:04,Logo 1,Nápis 2,
23.2.2021 9:49:27,Logo 2,Nápis 2,Logo2-Nápis2
23.2.2021 9:51:04,Logo 2,Nápis 3,Loga 2 a napis 3 :-) pre mna jednoduché čisté línie písma a list ošľahaný vetrom ako z prírody
23.2.2021 10:10:23,Logo 1,Nápis 1,"logo - prvé zľava, písmo - prvé zhora"
23.2.2021 10:19:45,Logo 2,Nápis 2,"Logo 2, Napis 2"
23.2.2021 10:32:46,Logo 3,Nápis 1,"Logo 3, nápis 1"
23.2.2021 10:41:21,Logo 1,Nápis 1,Logo 1 napis 1
23.2.2021 10:48:02,Logo 3,Nápis 3,Logo a nápis 3
23.2.2021 11:37:01,Logo 1,Nápis 1,"Logo 1, nápis 1"
23.2.2021 11:39:12,Logo 3,Nápis 1,"Logo 3, napis 1"
23.2.2021 11:45:04,Logo 3,Nápis 3,"Logo 3, nápis 3"
23.2.2021 13:22:37,Logo 1,Nápis 2,"Logo 1,písmo 2"
23.2.2021 13:46:19,Logo 3,Nápis 2,"Logo 3, napis 2"
23.2.2021 15:38:55,Logo 2,Nápis 3,Loga 2 a napis 3 :-) pre mna jednoduché čisté línie písma a list ošľahaný vetrom ako z prírody
23.2.2021 15:52:18,Logo 1,Nápis 2,"Logo 1,napis 2"
23.2.2021 19:01:38,Logo 3,Nápis 3,3+3
23.2.2021 19:21:40,Logo 1,Nápis 1,Logo1 nadpis1
23.2.2021 19:38:41,Logo 1,Nápis 1,Logo1 Nadpis1
23.2.2021 19:53:54,Logo 1,Nápis 1,Logo 1 napis 1
23.2.2021 22:53:24,Logo 2,Nápis 3,Loga 2 a napis 3 :-) pre mna jednoduché čisté línie písma a list ošľahaný vetrom ako z prírody
24.2.2021 9:06:32,Logo 3,Nápis 1,Logo 3 Napis 1
24.2.2021 10:54:55,Logo 2,Nápis 3,"Logo 2, Nápis 3"
24.2.2021 20:13:05,Logo 3,Nápis 3,Logo 3 Nápis 3
24.2.2021 21:10:49,Logo 3,Nápis 1,Logo 3 napis 1
24.2.2021 23:16:46,Logo 2,Nápis 3,"Ten druhý dizajn listu (poprípade aj prvý) a font, čo je all-cps"
24.2.2021 23:35:55,Logo 3,Nápis 1,"Logo 3, Napis 1"
24.2.2021 23:58:03,Logo 1,Nápis 1,"Logo 1, nápis 2"
25.2.2021 5:44:27,Logo 1,Nápis 3,Logo 1 + Nápis 3
25.2.2021 6:27:45,Logo 2,Nápis 3,"Druhy listek, posledni pismo 😁"
25.2.2021 8:13:04,Logo 3,Nápis 3,Logo 3 nadpis 3
25.2.2021 8:31:01,Logo 1,Nápis 3,Logo 1 napis 3
25.2.2021 9:21:20,Logo 3,Nápis 3,"Logo 1, Nápis 3"
25.2.2021 12:36:55,Logo 1,Nápis 3,01-Mar
25.2.2021 12:41:06,Logo 1,Nápis 2,Logo 1 nápis 2
25.2.2021 12:43:14,Logo 1,Nápis 3,Logo 1 napis 3
25.2.2021 18:56:15,Logo 1,Nápis 1,1 a 1
25.2.2021 19:01:06,Logo 1,Nápis 1,1+1
25.2.2021 19:01:44,Logo 1,Nápis 3,1+3
25.2.2021 19:02:34,Logo 3,Nápis 3,3 3
25.2.2021 19:06:43,Logo 1,Nápis 3,"Logo 1, nápis 3"
25.2.2021 19:07:46,Logo 1,Nápis 2,"Logo 1, nápis 3"
25.2.2021 19:23:26,Logo 1,Nápis 2,logo 1 napis 2
25.2.2021 23:08:47,Logo 1,Nápis 2,"Logo 1, nápis 2"
27.2.2021 9:19:41,Logo 3,Nápis 2,Logo 3. Napis 2
27.2.2021 9:22:14,Logo 2,Nápis 2,"Logo 2, napis2"
27.2.2021 9:23:51,Logo 2,Nápis 1,Logo 2 Nápis 1
27.2.2021 15:40:35,Logo 2,Nápis 1,Logo 2 Nápis 1
28.2.2021 16:30:24,Logo 1,Nápis 2,"Logo1, napis2"
1.3.2021 21:45:25,Logo 3,Nápis 3,"logo 3, nápis 3"
1.3.2021 22:02:54,Logo 2,Nápis 3,"Logo 2, napis 3"
1.3.2021 22:09:47,Logo 2,Nápis 3,"Logo 2, nápis 3"
1.3.2021 22:10:02,Logo 3,Nápis 3,Logo 3 nadpis 3
1.3.2021 22:10:10,Logo 3,Nápis 3,Logo 3 nadpis 3
1.3.2021 22:10:24,Logo 3,Nápis 3,"Logo 3, Nápis 3"
1.3.2021 22:38:52,Logo 1,Nápis 3,Logo 1 + Nápis 3
1.3.2021 22:45:42,Logo 2,Nápis 1,Logo 1
1.3.2021 23:24:22,Logo 3,Nápis 2,"logo 3, napis 2"
